encourage,alentar,encourager
anywhere,en cualquier sitio,partout
infant,infantil,bebe
wealthy,adinerado,riche
armed,armado,arme
local,local,local
sea,mar,mer
worker,trabajador,ouvrier
sample,muestra,goûter
more,mas,suite
ingredient,ingrediente,ingredient
sentence,oracion,phrase
appreciate,agradecer,apprecier
appear,aparecer,apparaître
afford,poder pagar,s'offrir
position,posicion,position
his,su,le sien
funny,gracioso,drôle
value,valor,evaluer
downtown,centro,centre ville
enter,ingresar,entrer
helpful,servicial,utile
wipe,pasar un trapo,essuyer
recent,reciente,recent
tap,grifo,robinet
flame,fuego,flamme
suit,traje,combinaison
including,incluso,y compris
somebody,alguien,quelqu'un
around,alrededor,environ
reputation,reputacion,reputation
indeed,por supuesto,en effet
shake,agitar,secouer
rope,cuerda,corde
mention,mencionar,mention
either,cualquiera,soit
recipe,receta,recette
retain,conservar,conserver
baseball,beisbol,base-ball
vs,vs,vs
report,informe,rapport
approach,acercarse,approcher
necessarily,necesariamente,necessairement
widespread,extendido,très repandu
recommend,recomendar,recommander
instructor,instructor,instructeur
narrative,narrativa,recit
shop,tienda,magasin
unfortunately,desafortunadamente,malheureusement
unlike,a diferencia de,contrairement à
tiny,diminuto,minuscule
american,americano,americain
russian,ruso,russe
lemon,limon,citron
institutional,institucional,institutionnel
theme,tema,thème
church,iglesia,eglise
wide,amplio,large
hunter,cazador,chasseur
kiss,beso,embrasser
resist,resistirse,resister
oppose,oponerse a,s'opposer
dramatic,dramatico,spectaculaire
one,una,une
double,doble,double
lose,perder,perdre
investigate,investigar,enquêter
presidential,presidencial,presidentiel
agricultural,agricola,agricole
board,tablero,planche
command,mando,commander
version,version,version
computer,computadora,l'ordinateur
clearly,claramente,clairement
three,tres,trois
consumption,consumo,consommation
exposure,exposicion,exposition
construct,construir,construction
engineer,ingeniero,ingenieur
crack,grieta,fissure
impression,impresion,impression
suggestion,sugerencia,suggestion
definition,definicion,definition
pressure,presion,pression
battery,bateria,la batterie
works,obras,œuvres
gifted,dotado,doue
barrier,barrera,barrière
the,los,la
depend,depender,dependre
parking,estacionamiento,parking
few,pocos,quelque
launch,lanzamiento,lancement
button,boton,bouton
golf,golf,le golf
mirror,espejo,miroiter
violent,violento,violent
standard,estandar,la norme
teaching,ensenando,enseignement
vessel,embarcacion,navire
impressive,impresionante,impressionnant
ally,aliado,allie
hole,agujero,trou
effectively,efectivamente,effectivement
closely,cercanamente,etroitement
hire,contratar,embaucher
with,con,avec
immigrant,inmigrante,immigrant
wash,lavar,lavage
deal,trato,accord
upon,sobre,sur
matter,importar,question
affect,afectar,affecter
latin,latin,latin
form,formulario,forme
manufacturing,fabricacion,fabrication
distinction,distincion,distinction
anniversary,aniversario,anniversaire
everybody,todos,tout le monde
red,rojo,rouge
involve,involucrar,impliquer
scared,asustado,effraye
adjustment,ajustamiento,ajustement
actually,realmente,en fait
palm,palma,paume
heritage,herencia,patrimoine
both,ambas cosas,tous les deux
nearby,cercano,proche
night,noche,nuit
insist,insistir,insister
element,elemento,element
drug,droga,drogue
that,que,ce
now,ahora,à present
leave,salir,partir
carefully,con cuidado,soigneusement
transformation,transformacion,transformation
jump,salto,saut
depict,representar,representer
source,fuente,la source
athletic,atletico,athletique
overcome,superar,surmonter
decide,decidir,decider
colonial,colonial,colonial
everyone,todo el mundo,toutes les personnes
priest,sacerdote,prêtre
quick,rapido,rapide
cousin,prima,cousine
background,antecedentes,contexte
grain,grano,grain
proceed,continuar,proceder
aide,ayudante,aide
balance,equilibrio,equilibre
internal,interno,interne
burden,carga,fardeau
wealth,poder,richesse
talk,hablar,parler
sport,deporte,sport
bomb,bomba,bombe
belief,creencia,croyance
interesting,interesante,interessant
domestic,domestico,national
island,isla,île
demonstration,demostracion,manifestation
god,dios,dieu
developing,desarrollando,developpement
revolution,revolucion,revolution
patient,paciente,patient
remarkable,notable,remarquable
purchase,compra,achat
comparison,comparacion,comparaison
hot,caliente,chaud
define,definir,definir
investment,inversion,investissement
individual,individual,individuel
currently,actualmente,actuellement
net,neto,rapporter
facility,instalaciones,etablissement
eye,ojo,œil
bowl,bol,bol
pole,polo,pôle
province,provincia,province
extra,extra,supplementaire
tax,impuesto,impôt
agent,agente,agent
baby,bebe,bebe
century,siglo,siècle
prison,prision,prison
elect,electo,elire
administrator,administrador,administrateur
journey,viaje,voyage
islamic,islamico,islamique
labor,labor,la main d'oeuvre
spanish,espanol,espagnol
relatively,relativamente,relativement
taste,gusto,goût
west,oeste,ouest
hit,golpear,frapper
smart,inteligente,intelligent
poem,poema,poème
propose,proponer,proposer
solution,solucion,solution
thanks,gracias,merci
safe,a salvo,sûr
finding,hallazgo,decouverte
fill,llenar,remplir
award,otorgar,decerner
corporation,corporacion,societe
build,construir,construire
remember,recordar,rappelles toi
early,temprano,de bonne heure
significance,significado,importance
abuse,abuso,abuser de
criticism,critica,critique
stranger,extrano,etranger
conduct,conducta,conduite
per,por,par
pass,pasar,passe
highlight,destacar,surligner
old,viejo,vieux
enable,habilitar,permettre
eager,entusiasta,desireux
inform,informar,informer
owe,deber,devoir
manage,administrar,faire en sorte
believe,creer,croyez
tear,lagrima,larme
complaint,queja,plainte
possess,poseer,posseder
plate,plato,assiette
powder,polvo,poudre
evaluation,evaluacion,evaluation
reaction,reaccion,reaction
count,contar,compter
tire,neumatico,pneu
pack,paquete,pack
visitor,visitante,visiteur
access,acceso,acceder
there,alli,là
lawsuit,demanda judicial,procès
visit,visita,visiter
nurse,enfermera,infirmière
media,medios de comunicacion,medias
valuable,valioso,de valeur
in,en,dans
remove,retirar,retirer
observation,observacion,observation
prime,principal,premier
function,funcion,une fonction
every,cada,tous
explain,explicar,explique
initial,inicial,initiale
salt,sal,sel
dirt,tierra,salete
seriously,seriamente,serieusement
help,ayuda,aider
rice,arroz,riz
criteria,criterio,critères
formula,formula,formule
bind,unir,lier
emission,emision,emission
schedule,calendario,programme
loss,perdida,perte
beer,cerveza,bière
permit,permiso,permis
almost,casi,presque
no,no,non
shortly,dentro de poco,prochainement
chinese,chino,chinois
itself,si mismo,lui-même
memory,memoria,memoire
crime,crimen,la criminalite
meat,carne,viande
policy,politica,politique
treaty,tratado,traite
customer,cliente,client
rose,rosa,rose
truck,camion,un camion
stretch,tramo,s'etirer
negative,negativo,negatif
confident,seguro,confiant
lovely,encantador,beau
familiar,familiar,familier
killer,asesino,tueur
listen,escucha,ecoutez
participation,participacion,participation
morning,manana,matin
dish,plato,assiette
lost,perdio,perdu
kid,nino,enfant
he,el,il
african-american,afroamericano,afro-americain
deep,profundo,profond
explanation,explicacion,explication
post,correo,publier
ongoing,en curso,en cours
locate,localizar,localiser
react,reaccionar,reagir
grow,crecer,grandir
telephone,telefono,telephone
roll,rollo,rouler
observer,observador,observateur
candidate,candidato,candidat
shape,forma,faconner
grandmother,abuela,grand-mère
prefer,preferir,preferer
tremendous,tremendo,enorme
surgery,cirugia,operation
retire,retirarse,se retirer
fall,otono,tomber
strike,huelga,la grève
afraid,temeroso,peur
accident,accidente,accident
crash,choque,crash
climb,escalada,grimper
canadian,canadiense,canadien
obvious,obvio,evident
finally,finalmente,finalement
down,abajo,vers le bas
hey,oye,he
classic,clasico,classique
identification,identificacion,identification
squeeze,estrujar,presser
strength,fuerza,force
table,mesa,table
accurate,preciso,precis
cheap,barato,pas cher
offense,ofensa,infraction
construction,construccion,construction
very,muy,très
house,casa,loger
breast,pecho,sein
find,encontrar,trouver
desperate,desesperado,desespere
discover,descubrir,decouvrir
wind,viento,vent
safety,la seguridad,securite
intention,intencion,intention
stage,escenario,etape
fiber,fibra,fibre
fitness,aptitud fisica,aptitude
german,aleman,allemand
guess,adivinar,deviner
air,aire,air
yell,gritar,hurler
airline,aerolinea,compagnie aerienne
abandon,abandonar,abandonner
discipline,disciplina,la discipline
proof,prueba,preuve
nowhere,en ningun lugar,nulle part
stare,mirar fijamente,regard
testing,pruebas,essai
essay,ensayo,essai
own,propio,posseder
attend,atender,assister à
perform,llevar a cabo,effectuer
wage,sueldo,salaire
pretty,bonito,jolie
work,trabajo,travailler
sales,ventas,ventes
organization,organizacion,organisation
effect,efecto,effet
unlikely,improbable,improbable
wood,madera,bois
perceive,percibir,apercevoir
variation,variacion,variation
formation,formacion,formation
mess,lio,desordre
enough,suficiente,assez
simple,sencillo,facile
announce,anunciar,annoncer
adult,adulto,adulte
decision,decision,decision
trace,rastro,trace
phone,telefono,telephoner
flight,vuelo,vol
potato,papa,patate
interest,interesar,interêt
comedy,comedia,la comedie
asset,activo,actif
psychology,psicologia,psychologie
collection,coleccion,collection
department,departamento,departement
book,libro,livre
n't,nuevo testamento,nt
list,lista,liste
pray,rezar,prier
fine,multa,amende
big,grande,gros
odds,impares,chances
building,edificio,bâtiment
besides,ademas,outre
advertising,publicidad,la publicite
consume,consumir,consommer
confront,confrontar,affronter
increasing,creciente,en augmentant
concert,concierto,concert
tip,propina,pointe
auto,auto,auto
preparation,preparacion,preparation
index,indice,indice
result,resultado,resultat
capture,capturar,capturer
born,nacido,nee
entertainment,entretenimiento,divertissement
equal,igual,egal
favorite,favorito,favori
foot,pie,le pied
onion,cebolla,oignon
so,entonces,alors
bite,morder,mordre
collapse,colapso,s'effondrer
refer,referir,referer
later,luego,plus tard
poet,poeta,poète
party,fiesta,fête
immediate,inmediato,immediat
survivor,sobreviviente,survivant
attitude,actitud,attitude
withdraw,retirar,retirer
lucky,afortunado,chanceux
examine,examinar,examiner
year,ano,an
quarter,trimestre,trimestre
case,caso,cas
sophisticated,sofisticado,sophistique
prior,previo,avant
olympic,olimpico,olympique
nevertheless,sin embargo,neanmoins
offer,oferta,offrir
bean,frijol,haricot
requirement,requisito,exigence
several,varios,nombreuses
welcome,bienvenidos,bienvenue
meanwhile,mientras tanto,entre-temps
delay,demora,retard
remind,recordar,rappeler
super,super,super
control,control,contrôler
dining,comida,à manger
farmer,agricultor,fermier
music,musica,la musique
bed,cama,lit
supreme,supremo,suprême
electronic,electronico,electronique
structure,estructura,structure
emerge,surgir,emerger
quote,cita,citation
specific,especifico,specifique
properly,adecuadamente,correctement
resolution,resolucion,resolution
economy,economia,economie
rifle,rifle,fusil
be,ser,être
time,hora,temps
perception,percepcion,la perception
shot,disparo,tirer
heel,tacon,talon
neither,ninguno de los dos,non plus
severe,grave,sevère
tool,herramienta,outil
walk,andar,marche
home,casa,domicile
sweep,barrer,balayer
bench,mesa de trabajo,banc
percentage,porcentaje,pourcentage
somewhere,algun lado,quelque part
look,mira,voir
become,volverse,devenir
best,mejor,meilleur
aircraft,aeronave,avion
joint,articulacion,decouper
would,haria,voudrais
rapidly,rapidamente,rapidement
sector,sector,secteur
changing,cambiando,en changeant
come,venir,viens
want,querer,vouloir
variable,variable,variable
furthermore,es mas,en outre
send,enviar,envoyer
usually,generalmente,d'habitude
cite,citar,citer
figure,figura,chiffre
transfer,transferir,transfert
back,espalda,arrière
operate,funcionar,fonctionner
approval,aprobacion,approbation
user,usuario,utilisateur
brilliant,brillante,brillant
history,historia,l'histoire
according,segun,selon
trial,prueba,essai
discuss,discutir,discuter
chance,oportunidad,chance
historical,historico,historique
yesterday,ayer,hier
mood,estado animico,humeur
chain,cadena,chaîne
combine,combinar,combiner
cheek,mejilla,joue
frequently,frecuentemente,frequemment
visible,visible,visible
seem,parecer,sembler
border,frontera,frontière
soviet,sovietico,sovietique
deliver,entregar,livrer
marriage,matrimonio,mariage
piano,piano,piano
growth,crecimiento,croissance
team,equipo,equipe
similarly,similar,de même
emotion,emocion,emotion
resolve,resolver,resoudre
generate,generar,produire
cancer,cancer,cancer
last,ultimo,dernier
poll,encuesta,sondage
outside,fuera de,à l'exterieur
swim,nadar,baignade
graduate,graduado,diplôme
declare,declarar,declarer
always,siempre,toujours
sorry,lo siento,pardon
terrorist,terrorista,terroriste
storage,almacenamiento,espace de rangement
teenager,adolescente,adolescent
routine,rutina,routine
honor,honor,honneur
audience,audiencia,public
terms,condiciones,termes
reality,realidad,realite
moment,momento,moment
creature,criatura,creature
