a,un,une
somehow,de alguna manera,en quelque sorte
someone,alguien,quelqu'un
something,algo,quelque chose
sometimes,a veces,parfois
somewhat,algo,quelque peu
somewhere,algun lado,quelque part
son,hijo,fils
song,canción,chanson
soon,pronto,bientôt
sophisticated,sofisticado,sophistiqué
sorry,lo siento,pardon
sort,clasificar,sorte
soul,alma,âme
sound,sonar,sonner
soup,sopa,soupe
source,fuente,la source
south,sur,sud
southern,meridional,du sud
soviet,soviético,soviétique
space,espacio,espacer
spanish,español,espagnol
speak,hablar,parlez
speaker,altavoz,conférencier
special,especial,spécial
specialist,especialista,spécialiste
species,especies,espèce
specific,específico,spécifique
specifically,específicamente,plus précisément
speech,habla,discours
speed,velocidad,vitesse
spend,gastar,dépenser
spending,gasto,dépenses
spin,girar,tourner
spirit,espíritu,esprit
spiritual,espiritual,spirituel
split,separar,diviser
spokesman,portavoz,porte-parole
sport,deporte,sport
spot,lugar,place
spread,untado,propagé
spring,primavera,le printemps
square,cuadrado,carré
squeeze,estrujar,presser
stability,estabilidad,la stabilité
stable,estable,stable
staff,personal,personnel
stage,escenario,étape
stair,escalera,escalier
stake,apostar,pieu
stand,pararse,supporter
standard,estándar,la norme
standing,de pie,debout
star,estrella,star
stare,mirar fijamente,regard
start,comienzo,démarrer
state,estado,etat
statement,declaración,déclaration
station,estación,station
statistics,estadísticas,statistiques
status,estado,statut
stay,quédate,rester
steady,firme,constant
steal,robar,voler
steel,acero,acier
step,paso,étape
stick,palo,coller
still,todavía,toujours
stir,revolver,remuer
stock,valores,stock
stomach,estómago,estomac
stone,roca,calcul
stop,detener,arrêter
storage,almacenamiento,espace de rangement
store,tienda,boutique
storm,tormenta,orage
story,historia,récit
straight,derecho,droit
strange,extraño,étrange
stranger,extraño,étranger
strategic,estratégico,stratégique
strategy,estrategia,stratégie
stream,arroyo,flux
street,calle,rue
strength,fuerza,force
strengthen,fortalecer,renforcer
stress,estrés,stress
stretch,tramo,s'étirer
strike,huelga,la grève
string,cuerda,chaîne de caractères
strip,banda,déshabiller
stroke,carrera,accident vasculaire cérébral
strong,fuerte,fort
strongly,fuertemente,fortement
structure,estructura,structure
struggle,dificil,lutter
student,estudiante,élève
studio,estudio,studio
study,estudio,étude
stuff,cosas,truc
stupid,estúpido,stupide
style,estilo,style
subject,tema,matière
submit,enviar,nous faire parvenir
subsequent,subsecuente,subséquent
substance,sustancia,substance
substantial,sustancial,substantiel
succeed,triunfar,réussir
success,éxito,succès
successful,exitoso,réussi
successfully,exitosamente,avec succès
such,tal,tel
sudden,repentino,soudain
suddenly,de repente,tout à coup
sue,demandar,poursuivre en justice
suffer,sufrir,souffrir
sufficient,suficiente,suffisant
sugar,azúcar,du sucre
suggest,sugerir,suggérer
suggestion,sugerencia,suggestion
suicide,suicidio,suicide
suit,traje,combinaison
summer,el verano,l'été
summit,cumbre,sommet
sun,sol,soleil
super,súper,super
supply,suministro,fournir
support,apoyo,support
supporter,seguidor,supporter
suppose,suponer,supposer
supposed,supuesto,supposé
supreme,supremo,suprême
sure,por supuesto,bien sur
surely,seguramente,sûrement
surface,superficie,surface
surgery,cirugía,opération
surprise,sorpresa,surprendre
surprised,sorprendido,surpris
surprising,sorprendente,surprenant
surprisingly,asombrosamente,étonnamment
surround,rodear,entourer
survey,encuesta,enquête
survival,supervivencia,survie
survive,sobrevivir,survivre
survivor,sobreviviente,survivant
suspect,sospechar,suspect
sustain,sostener,soutenir
swear,jurar,jurer
sweep,barrer,balayer
sweet,dulce,sucré
swim,nadar,baignade
swing,balancearse,balançoire
switch,cambiar,changer
symbol,símbolo,symbole
symptom,síntoma,symptôme
system,sistema,système
table,mesa,table
tablespoon,cucharada,cuillerée à soupe
tactic,táctica,tactique
tail,cola,queue
take,llevar,prendre
tale,cuento,conte
talent,talento,talent
talk,hablar,parler
tall,alto,haut
tank,tanque,char
tap,grifo,robinet
tape,cinta,ruban
target,objetivo,cible
task,tarea,tâche
taste,gusto,goût
tax,impuesto,impôt
taxpayer,contribuyente,contribuable
tea,té,thé
teach,enseñar,enseigner
teacher,profesor,prof
teaching,enseñando,enseignement
team,equipo,équipe
tear,lágrima,larme
teaspoon,cucharilla,cuillère à café
technical,técnico,technique
technique,técnica,technique
technology,tecnología,la technologie
teen,adolescente,adolescent
teenager,adolescente,adolescent
telephone,teléfono,téléphone
telescope,telescopio,télescope
television,televisión,télévision
tell,decir,dire
temperature,temperatura,température
temporary,temporal,temporaire
ten,diez,dix
tend,tender,tendre
tendency,tendencia,tendance
tennis,tenis,tennis
tension,tensión,tension
tent,carpa,tente
term,término,terme
terms,condiciones,termes
terrible,terrible,terrible
territory,territorio,territoire
terror,terror,la terreur
terrorism,terrorismo,terrorisme
terrorist,terrorista,terroriste
test,prueba,test
testify,testificar,témoigner
testimony,testimonio,témoignage
testing,pruebas,essai
text,texto,texte
than,que,que
thank,gracias,remercier
thanks,gracias,merci
that,que,ce
the,los,la
theater,teatro,théâtre
their,sus,leur
them,ellos,leur
theme,tema,thème
themselves,ellos mismos,eux-mêmes
then,luego,ensuite
theory,teoría,théorie
therapy,terapia,thérapie
there,allí,là
therefore,por lo tanto,donc
these,estas,celles-ci
they,ellos,elles ou ils
thick,grueso,épais
thin,delgado,mince
thing,cosa,chose
think,pensar,pense
thinking,pensando,en pensant
third,tercera,la troisième
thirty,treinta,30
this,esta,ce
those,esos,celles
though,aunque,mais
thought,pensamiento,pensait
thousand,mil,mille
threat,amenaza,menace
threaten,amenazar,menacer
three,tres,trois
throat,garganta,gorge
through,a través de,par
throughout,a lo largo de,tout au long de
throw,lanzar,lancer
thus,por lo tanto,donc
ticket,billete,billet
tie,corbata,nouer
tight,ajustado,serré
time,hora,temps
tiny,diminuto,minuscule
tip,propina,pointe
tire,neumático,pneu
tired,cansado,fatigué
tissue,tejido,tissu
title,título,titre
to,para,pour
tobacco,tabaco,le tabac
today,hoy dia,aujourd'hui
toe,dedo del pie,doigt de pied
together,juntos,ensemble
tomato,tomate,tomate
tomorrow,mañana,demain
tone,tono,ton
tongue,lengua,langue
tonight,esta noche,ce soir
too,también,aussi
tool,herramienta,outil
tooth,diente,dent
top,cima,haut
topic,tema,sujet
toss,sacudida,lancer
total,total,total
totally,totalmente,totalement
touch,tocar,toucher
tough,difícil,difficile
tour,excursión,visiter
tourist,turista,touristique
tournament,torneo,tournoi
toward,hacia,vers
towards,hacia,vers
tower,torre,la tour
town,pueblo,ville
toy,juguete,jouet
trace,rastro,trace
track,pista,piste
trade,comercio,commerce
tradition,tradicion,tradition
traditional,tradicional,traditionnel
traffic,tráfico,circulation
tragedy,tragedia,la tragédie
trail,rastro,piste
train,entrenar,former
training,capacitación,formation
transfer,transferir,transfert
transform,transformar,transformer
transformation,transformación,transformation
transition,transición,transition
translate,traducir,traduire
transportation,transporte,transport
travel,viaje,voyage
treat,tratar,traiter
treatment,tratamiento,traitement
treaty,tratado,traité
tree,árbol,arbre
tremendous,tremendo,énorme
trend,tendencia,tendance
trial,prueba,essai
tribe,tribu,tribu
trick,truco,duper
trip,viaje,voyage
troop,tropa,troupe
trouble,problema,inquiéter
truck,camión,un camion
true,cierto,vrai
truly,verdaderamente,vraiment
trust,confianza,confiance
truth,verdad,vérité
try,tratar,essayer
tube,tubo,tube
tunnel,túnel,tunnel
turn,girar,tourner
tv,televisor,la télé
twelve,doce,douze
twenty,veinte,vingt
twice,dos veces,deux fois
twin,mellizo,double
two,dos,deux
type,escribe,taper
typical,típico,typique
typically,típicamente,typiquement
ugly,feo,laid
ultimate,último,ultime
ultimately,por último,finalement
unable,incapaz,incapable
uncle,tío,oncle
under,bajo,en dessous de
undergo,someterse,subir
understand,comprender,comprendre
understanding,comprensión,entente
unfortunately,desafortunadamente,malheureusement
uniform,uniforme,uniforme
union,unión,syndicat
unique,único,unique
unit,unidad,unité
united,unido,uni
universal,universal,universel
universe,universo,univers
university,universidad,université
unknown,desconocido,inconnu
unless,a no ser que,à moins que
unlike,a diferencia de,contrairement à
unlikely,improbable,improbable
until,hasta que,jusqu'à ce que
unusual,raro,inhabituel
up,arriba,en haut
upon,sobre,sur
upper,superior,supérieur
urban,urbano,urbain
urge,impulso,exhorter
us,nosotros,nous
use,utilizar,utiliser
used,usado,utilisé
useful,útil,utile
user,usuario,utilisateur
usual,usual,habituel
usually,generalmente,d'habitude
utility,utilidad,utilitaire
vacation,vacaciones,vacances
valley,valle,vallée
valuable,valioso,de valeur
value,valor,évaluer
variable,variable,variable
variation,variación,variation
variety,variedad,variété
various,varios,divers
vary,variar,varier
vast,vasto,vaste
vegetable,vegetal,légume
vehicle,vehículo,véhicule
venture,riesgo,entreprise
version,versión,version
versus,versus,contre
very,muy,très
vessel,embarcación,navire
veteran,veterano,vétéran
via,vía,via
victim,víctima,victime
victory,victoria,la victoire
video,video,vidéo
view,vista,voir
viewer,espectador,téléspectateur
village,pueblo,village
violate,violar,violer
violation,violación,violation
violence,violencia,la violence
violent,violento,violent
virtually,virtualmente,virtuellement
virtue,virtud,vertu
virus,virus,virus
visible,visible,visible
vision,visión,vision
visit,visita,visiter
visitor,visitante,visiteur
visual,visual,visuel
vital,vital,vital
voice,voz,voix
volume,volumen,le volume
volunteer,voluntario,bénévole
vote,votar,voter
voter,votante,électeur
vs,vs,vs
vulnerable,vulnerable,vulnérable
wage,sueldo,salaire
wait,espere,attendre
wake,despertar,réveiller
walk,andar,marche
wall,muro,mur
wander,vagar,errer
want,querer,vouloir
war,guerra,guerre
warm,cálido,chaleureux
warn,advertir,prévenir
warning,advertencia,attention
wash,lavar,lavage
waste,desperdicio,déchets
watch,reloj,regardez
water,agua,l'eau
wave,ola,vague
way,manera,façon
we,nosotros,nous
weak,débil,faible
wealth,poder,richesse
wealthy,adinerado,riche
weapon,arma,arme
wear,tener puesto,porter
weather,tiempo,la météo
wedding,boda,mariage
week,semana,semaine
weekend,fin de semana,weekend
weekly,semanal,hebdomadaire
weigh,pesar,peser
weight,peso,poids
welcome,bienvenidos,bienvenue
welfare,bienestar,bien-être
well,bien,bien
west,oeste,ouest
western,occidental,occidental
wet,mojado,mouiller
what,qué,quel
whatever,lo que,peu importe
wheel,rueda,roue
when,cuándo,lorsque
whenever,cuando sea,n'importe quand
where,donde,où
whereas,mientras que,tandis que
whether,ya sea,qu'il s'agisse
which,cual,lequel
while,tiempo,tandis que
whisper,susurro,chuchotement
white,blanco,blanche
who,quién,oms
whole,entero,ensemble
whom,quién,qui
whose,cuyo,à qui
why,por qué,pourquoi
wide,amplio,large
widely,ampliamente,largement
widespread,extendido,très répandu
wife,esposa,femme
wild,salvaje,sauvage
will,voluntad,volonté
willing,dispuesto,disposé
win,ganar,gagner
wind,viento,vent
window,ventana,la fenêtre
wine,vino,vin
wing,ala,aile
winner,ganador,gagnant
winter,invierno,hiver
wipe,pasar un trapo,essuyer
wire,cable,fil
wisdom,sabiduría,sagesse
wise,sabio,sage
wish,deseo,souhaiter
with,con,avec
withdraw,retirar,retirer
within,dentro de,dans
without,sin,sans pour autant
witness,testigo,témoin
woman,mujer,femme
wonder,preguntarse,merveille
wonderful,maravilloso,magnifique
wood,madera,bois
wooden,de madera,en bois
word,palabra,mot
work,trabajo,travailler
worker,trabajador,ouvrier
working,trabajando,travaillant
works,obras,œuvres
workshop,taller,atelier
world,mundo,monde
worried,preocupado,inquiet
worry,preocuparse,s'inquiéter
worth,valor,valeur
would,haría,voudrais
wound,herida,blesser
wrap,envoltura,envelopper
write,escribe,écrivez
writer,escritor,écrivain
writing,escribiendo,en écrivant
wrong,incorrecto,tort
yard,yarda,cour
yeah,si,ouais
year,año,an
yell,gritar,hurler
yellow,amarillo,jaune
yes,sí,oui
yesterday,ayer,hier
yet,aún,encore
yield,producir,rendement
you,usted,toi
young,joven,jeune
your,tu,ton
yours,tuya,le tiens
yourself,tú mismo,toi-même
youth,juventud,jeunesse
zone,zona,zone
